token_idx,phase,layer,k_required,k_hit,k_miss,ssd_read_us,h2d_us,compute_us,stall_us,cache_resident_experts,predictor
56,prefill,22,64,52,12,12420,4697,0,17117,96,eamc
56,prefill,23,64,51,13,14516,5212,0,19728,96,eamc
56,prefill,24,64,48,16,8360,6174,0,14534,96,eamc
56,prefill,25,64,54,10,9242,3834,0,13076,96,eamc
56,prefill,26,64,51,13,9130,4988,0,14118,96,eamc
56,prefill,27,64,55,9,6434,3475,0,9909,96,eamc
56,prefill,28,64,56,8,7492,3419,0,10911,96,eamc
56,prefill,29,64,55,9,2450,4012,0,6462,96,eamc
56,prefill,30,64,55,9,8803,4033,0,12836,96,eamc
56,prefill,31,64,53,11,13906,5001,0,18907,96,eamc
56,prefill,32,64,55,9,4583,4156,0,8739,96,eamc
56,prefill,33,64,54,10,14037,4536,0,18573,96,eamc
56,prefill,34,64,57,7,13127,3153,0,16280,96,eamc
56,prefill,35,64,56,8,7956,3594,0,11550,96,eamc
56,prefill,36,64,50,14,9495,6278,0,15773,96,eamc
56,prefill,37,64,53,11,11961,4926,0,16887,96,eamc
56,prefill,38,64,60,4,5490,1784,0,7274,96,eamc
56,prefill,39,64,52,12,12188,5326,0,17514,96,eamc
64,prefill,0,64,52,12,6863,4698,0,11561,96,eamc
64,prefill,1,64,37,27,23853,10586,0,34439,96,eamc
64,prefill,2,64,36,28,20877,10961,0,31838,96,eamc
64,prefill,3,64,41,23,23443,9002,0,32445,96,eamc
64,prefill,4,64,51,13,16638,5086,0,21724,96,eamc
64,prefill,5,64,51,13,9410,4993,0,14403,96,eamc
64,prefill,6,64,55,9,7310,3477,0,10787,96,eamc
64,prefill,7,64,53,11,7540,4232,0,11772,96,eamc
64,prefill,8,64,60,4,4264,1577,0,5841,96,eamc
64,prefill,9,64,56,8,9158,3308,0,12466,96,eamc
64,prefill,10,64,54,10,11442,3982,0,15424,96,eamc
64,prefill,11,64,59,5,3224,1915,0,5139,96,eamc
64,prefill,12,64,55,9,10407,3643,0,14050,96,eamc
64,prefill,13,64,57,7,6820,2694,0,9514,96,eamc
64,prefill,14,64,56,8,3797,3282,0,7079,96,eamc
64,prefill,15,64,61,3,2359,1150,0,3509,96,eamc
64,prefill,16,64,56,8,3348,3054,0,6402,96,eamc
64,prefill,17,64,58,6,1484,2295,0,3779,96,eamc
64,prefill,18,64,56,8,1896,3060,0,4956,96,eamc
64,prefill,19,64,52,12,6625,4675,0,11300,96,eamc
64,prefill,20,64,44,20,17750,7712,0,25462,96,eamc
64,prefill,21,64,50,14,7440,5434,0,12874,96,eamc
64,prefill,22,64,53,11,4815,4192,0,9007,96,eamc
64,prefill,23,64,55,9,6365,3437,0,9802,96,eamc
64,prefill,24,64,53,11,4606,4192,0,8798,96,eamc
64,prefill,25,64,55,9,4414,3446,0,7860,96,eamc
64,prefill,26,64,51,13,3049,4939,0,7988,96,eamc
64,prefill,27,64,58,6,3567,2344,0,5911,96,eamc
64,prefill,28,64,57,7,10856,3002,0,13858,96,eamc
64,prefill,29,64,57,7,3483,3085,0,6568,96,eamc
64,prefill,30,64,56,8,11285,3569,0,14854,96,eamc
64,prefill,31,64,59,5,6875,2243,0,9118,96,eamc
64,prefill,32,64,60,4,8406,1864,0,10270,96,eamc
64,prefill,33,64,62,2,2314,890,0,3204,96,eamc
64,prefill,34,64,60,4,7538,1808,0,9346,96,eamc
64,prefill,35,64,58,6,13245,2707,0,15952,96,eamc
64,prefill,36,64,52,12,12081,5368,0,17449,96,eamc
64,prefill,37,64,62,2,563,869,0,1432,96,eamc
64,prefill,38,64,60,4,5374,1905,0,7279,96,eamc
64,prefill,39,64,54,10,14010,4644,0,18654,96,eamc
72,prefill,0,64,58,6,3970,2386,0,6356,96,eamc
72,prefill,1,64,43,21,14747,8129,0,22876,96,eamc
72,prefill,2,64,32,32,19225,12333,0,31558,96,eamc
